Klinik name,klinik website,Stellenlink,Kontak,,,
HELIOS Klinik Erfurt Postleitzahl  9084,https://www.helios-gesundheit.de/standorte-angebote/kliniken/erfurt/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=99867,"Chefarzt Dr. med. Christoph C. Haufe
christoph.haufe@helios-gesundheit.de
Chefarzt Prof. Dr. med. Wolfgang Neuhofer
wolfgang.neuhofer@helios-gesundheit.de
Patricia Herrmann
Personalchefin für Erfurt, Gotha, Blankenhein
patricia.herrmann@helios-gesundheit.de
Personalleiter | Clusterleiter Helios Kliniken Thüringen Mitte
Robert.Pistel@helios-gesundheit.de Chefarzt Herr Prof. Dr. med. Alexander Lauten
alexander.lauten@helios-gesundheit.de
Patricia Herrmann
Personalchefin für Erfurt, Gotha, Blankenhein
patricia.herrmann@helios-gesundheit.de
Personalleiter | Clusterleiter Helios Kliniken Thüringen Mitte
Robert.Pistel@helios-gesundheit.de Leitender Oberarzt
Dr. med. Andreas Lohr
andreas.lohr@helios-gesundheit.de
spz.erfurt@helios-gesundheit.de
Personalleiter Clusterleiter Helios Kliniken
Thüringen Mitte
Robert.Pistel@helios-gesundheit.de Helios Erfurt
Prof. Dr. Axel Sauerbrey
axel.sauerbrey@helios-gesundheit.de
Personalchefin für Erfurt, Gotha, Blankenhein
Frau  Patricia Herrmann
patricia.herrmann@helios-gesundheit.de
Thüringen Mitte
Robert.Pistel@helios-gesundheit.de Chefarzt Priv. Doz. Dr. med. habil. Naumann
gert.naumann@helios-gesundheit.de
Thüringen Mitte
Robert.Pistel@helios-gesundheit.de Helios Personalabteilung Erfurt
Yvonne Kachold ist HR Referentin
Yvonne.Kachold@helios-gesundheit.de
Oder Molenda, Mandy 
Mandy.Molenda@helios-gesundheit.de

wolfgang.neuhofer@helios-gesundheit.de
CA Innere Erfurt
 Chefarzt der 2. Medizinischen Klinik
Herr PD Dr. med. Jens Kittner
Jens.Kittner@helios-gesundheit.de
Thüringen Mitte
Robert.Pistel@helios-gesundheit.de","Herr Chefarzt Dr. med. Jörg Kluge 
joerg.kluge2@helios-gesundheit.de
Thüringen Mitte
Robert.Pistel@helios-gesundheit.de","Chefarzt der Klinik für Gefäß- und endovaskuläre Chirurgie
Herr PD Dr. Hendrik Bergert
hendrik.bergert@]helios-gesundheit.de.","Chefärztin
Frau Dr. med. Simone Liebl-Biereige
simone.liebl-biereige@helios-gesundheit.de"
HELIOS Klinik Gotha Postleitzahl 99867,https://www.helios-gesundheit.de/standorte-angebote/kliniken/gotha/,https://www.helios-gesundheit.de/karriere/standorte/gotha/das-sind-wir/,"Personalleiter Robert Hitzigrath
R.Hitzigrath@eichsfeld-klinikum.de
Dr. med. Michael Unzicker Chefarzt für Innere Medizin II 
kardiologie@eichsfeld-klinikum.de
Dr. med. Lars Reinhardt
gastroenterologie@eichsfeld-klinikum.de
Chefarzt der Klinik für Innere Medizin I
bewerbung@eichsfeld-klinikum.de Helios Meiningen
Chefarzt Herrn Christoph Ehrsam
christoph.ehrsam@helios-gesundheit.de
Personalleiterin
Frau Dagmar Neitzke
dagmar.neitzke@helios-gesundheit.de) Chefarzt
Professor Dr. med. Thomas Mückley
thomas.mueckley@helios-gesundheit.de
Chefarzt Andreas Gräfenstein
andreas.graefenstein@helios-gesundheit.de
Personal Gerd Pahnke
gerd.pahnke@helios-gesundheit.de Leitende Ärztin Frau Anja Rabe
Anja.Rabe@helios-gesundheit.de
Personal Gerd Pahnke
gerd.pahnke@helios-gesundheit.de Chefärzte für Gynäkologie
Herrn MUDr. Roman Vraspir
Roman.Vraspir@helios-gesundheit.de
Personal Gerd Pahnke
gerd.pahnke@helios-gesundheit.de Chefarzt Fachbereich Innere Medizin
Herr Dr. med. Thomas Broska
Thomas.Broska@helios-gesundheit.de  ",,,
HELIOS Klinik Bleicherode Postleitzahl 99752,https://www.helios-gesundheit.de/standorte-angebote/kliniken/bleicherode/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=99752,"Stephan.Matzath@helios-gesundheit.de Dr. medic Albert Bratu
Ärztlicher Direktor
albert.bratu@helios-gesundheit.de
Stephan.Matzath@helios-gesundheit.de     ",,,
Helios Klinik Jena Postleitzahl  07749,https://www.helios-gesundheit.de/ambulant/jena-medizinisches-versorgungszentrum-allgemeinmedizin/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=jena,"Helios MVZ für gesamt Thüringen Praxismanagerin Janine Valley
janine.valley@helios-versorgungszentren.de      ",,,
HELIOS Fachklinik Hildburghausen Postleitzahl 98646,https://www.helios-gesundheit.de/standorte-angebote/kliniken/hildburghausen/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=98646,"Ärztliche Direktor
Herr Dr. Fehler
Silvius.Fehler@helios-gesundheit.de
Personalleiter Herr Leyh
Robert.Leyh@helios-gesundheit.de       ",,,
HELIOS Klinikum Meiningen Postleitzahl 98617,https://www.helios-gesundheit.de/karriere/standorte/meiningen/das-sind-wir/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Baction%5D=geoSearch&tx_heliosuwstemplates_jobsearch%5Bcontroller%5D=Job&tx_heliosuwstemplates_jobsearch%5Blocation%5D=98617&tx_heliosuwstemplates_jobsearch%5Bpage%5D=6&tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&cHash=44c0f485db1198b3695bf1ce5008be1d,"Herrn Christoph Ehrsam
Chefarzt
 christoph.ehrsam@helios-gesundheit.de
Frau Dagmar Neitzke
dagmar.neitzke@helios-gesundheit.de  Herrn Matthias Voigt
Matthias.voigt@helios-gesundheit.de
Frau Dagmar Neitzke
dagmar.neitzke@helios-gesundheit.de Chefarzt Gynäkologie und Geburtshilfe
Herrn Maher El Kaissi
maher.elkaissi@helios-gesundheit.de
Frau Dagmar Neitzke
dagmar.neitzke@helios-gesundheit.de Chefarzt der Klinik
Herrn Dr. med. Markus Schlosser (nur mit Approbation.)
markus.schlosser@helios-gesundheit.de
Personalleitung
Frau Patricia Reinhard
patricia.reinhard@helios-gesundheit.de Herr Prof. Dr. med. Rudolf Andreas Kristof
rudolf.kristof@helios-gesundheit.de
Frau Patricia Reinhard
patricia.reinhard@helios-gesundheit.de Chefarzt der Klinik für Gastroenterologie
Herrn PD Dr. med. habil. Michael Hocke
michael.hocke@helios-gesundheit.de
Frau Patricia Reinhard
patricia.reinhard@helios-gesundheit.de ",,,
St. Georg - Klinikum Eisenach,https://www.stgeorgklinikum.de/,https://www.stgeorgklinikum.de/stellenangebote,"jahnecke.marcus@stgeorgklinikum.de
Chefarzt Dr. med. Jahnecke
Personalabteilung
personalabteilung@stgeorgklinikum.de Chefarzt der Klinik für Innere Medizin II
Herr DM Andreas Kirbes
Kirbes.Andreas@stgeorgklinikum.de
Personalabteilung
personalabteilung@stgeorgklinikum.de Chefärztin
Dipl. med. Andrea Lesser
lesser@stgeorgklinikum.de 
Personalabteilung
personalabteilung@stgeorgklinikum.de  Chefärzte Anästhesiologie und Intensivmedizin
Herr Dipl.-Med. Kaiser
kaiser.michael@stgeorgklinikum.de
Herr Dr. Schache
schache.florian@stgeorgklinikum.de
Personalabteilung
personalabteilung@stgeorgklinikum.de Dr. med. Ahmed 
Herr Dipl. Med. Schlichter
Personalabteilung
personalabteilung@stgeorgklinikum.de Chefärztin der Kliniken
Frau Dr. Preiß
preiss@stgeorgklinikum.de
Personalabteilung
personalabteilung@stgeorgklinikum.de ",,,
"Waldkrankenhaus ""Rudolf Elle"" Eisenberg",https://www.waldkliniken-eisenberg.de/,https://recruitingapp-5107.de.umantis.com/Jobs/1?lang=ger,"Oberarzt Herr Dr. Sven Tieme
s.thieme@waldkliniken-eisenberg.de
k.kirilow@waldkliniken-eisenberg.de
bewerbung@waldkliniken-eisenberg.de Chefärzte
Frau Dr. Antje Meixner
A.Meixner@waldkliniken-eisenberg.de
Herr Prof. Dr. Georg Matziolis
G.Matziolis@waldkliniken-eisenberg.de
Geschäftsführerin Polikliniken GmbH
Frau Sabine Thies
s.thies@meine-polikliniken.de
k.kirilow@waldkliniken-eisenberg.de
Personalreferent Karsten Kirilow Chefärzte
Frau Dr. Antje Meixner
A.Meixner@waldkliniken-eisenberg.de
Karsten Kirilow Personalreferent
k.kirilow@waldkliniken-eisenberg.de
bewerbung@waldkliniken-eisenberg.de Chefärztin Frau Dr. Yvonne Böhme
 y.boehme@waldkliniken-eisenberg.de
bewerbung@waldkliniken-eisenberg.de
Sylvia Orlamünder
s.orlamuender@waldkliniken-eisenberg.de Oberarzt Herr Dr. Sven Tieme
s.thieme@waldkliniken-eisenberg.de
k.kirilow@waldkliniken-eisenberg.de
bewerbung@waldkliniken-eisenberg.de  ",,,
"Katholisches Krankenhaus ""St. Johann Nepomuk"" Erfurt",https://www.kkh-erfurt.de/,https://www.kkh-dein-krankenhaus.de/,"Chefarzt Herr Prof. Dr. med. Henning Ebelt
hebelt@kkh-erfurt.de
kardiologie@kkh-erfurt.de
bewerbungen@­kkh-erfurt.de
Caroline Kraft
Personalleiterin Chefärztin Gynäkologie und Geburtshilfe
Frau Dr. med. Ute Mahnert
gyngeb@kkh-erfurt.de
bewerbungen@­kkh-erfurt.de
Caroline Kraft
Personalleiterin Chefarzt der Klinik für Anästhesiologie und Intensivmedizin
Herr PD Dr. med. Tobias Clausen
an-itm@kkh-erfurt.de
bewerbungen@kkh-erfurt.de
Caroline Kraft
Personalleiterin Chefarzt Unfallchirurgie, Orthopädie und Wirbelsäulentherapie
Dr. med. Ivan Marintschev
ivan.marintschev@kkh-erfurt.de
unfallchirurgie@kkh-erfurt.de
bewerbungen@kkh-erfurt.de Chefarzt der Klinik für Psychiatrie,
Psychotherapie und Psychosomatik
Herr Dr. med. Stefan Dammers
ppp-klinik-sekretariat@kkh-erfurt.de
bewerbungen@kkh-erfurt.de  ",,,
SHR- Waldklinikum Gera,https://www.waldklinikumgera.de/,https://www.srh-karriere.de/gesundheit/stellenangebote/719feb44a711af6c4e94bfdac1274aa6/?q=&c=86&ct=&wg=&l=&d=,"Chefarzt der Klinik für Anästhesie und Intensivmedizin
PD Dr. med. habil. Falk A. Gonnert
falk.gonnert@srh.de
Silvia Männel
silvia.maennel@srh.de Personalberaterin Dr. med. Lutz Hempel
Chefarzt Kinder- und Jugendmedizin
lutz.hempel@srh.de
Frau  Ratzer, Myriam-Sophia
myriam-sophia.ratzer@srh.de
Personalberatung
silvia.maennel@srh.de Leitende Oberärztin
Dr. med. Sabine Venth
sabine.venth@srh.de
silvia.maennel@srh.de Personalberaterin Chefärztin
Frau Dr. med. Dagmar Täuscher
dagmar.taeuscher @srh.de
silvia.maennel@srh.de
Personalberaterin Dr. med. Rando Winter
Chefarzt Orthopädie und Endoprothetik
orthopaedie-gera@srh.de
Personalreferent
Frau Ratzer Myriam-Sophia
myriam-sophia.ratzer@srh.de Dr. med. Rando Winter
Chefarzt Orthopädie und Endoprothetik
orthopaedie-gera@srh.de
Personalberatung
silvia.maennel@srh.de Chefärztin
Fachärztin für Psychiatrie und Psychotherapie
Jana Prochnow
Chefarztsekretariat
Jacqueline Schaller
Jacqueline.Schaller@srh.de
Personalreferent
Frau Ratzer Myriam-Sophia
myriam-sophia.ratzer@srh.de",,,
SRH Zentralklinikum Suhl,https://www.zentralklinikum-suhl.de/,https://www.srh-karriere.de/gesundheit/stellenangebote/?id=20&q=&c=&ct=&wg=&w=&p=&l=suhl&d=,"Chefarzt Dipl.-Med. Torsten Vogel
torsten.vogel@srh.de 
Sekreteriat
pia.petersen@srh.de
Personalstelle
denise.ross@srh.de
Denise Roß  Daniela Lippert Personalreferentin
 daniela.lippert@srh.de
Herr CA Dr. Carsten Wurst
carsten.wurst@srh.de  Chefarzt der Klinik, Herr Dr. Anschütz
Sekreteriat susan.lott@srh.de
 Daniela Lippert Personalreferentin
 daniela.lippert@srh.de Dr. med. Olaf Stefanski
olaf.stefanski@srh.de
 Daniela Lippert Personalreferentin
 daniela.lippert@srh.de Herr Sebastian Orellano, Chefarzt
sebastian.orellano@srh.de
denise.ross@srh.de Personalstelle  Komm. Chefarzt Herr Dr. med. Andreas Heer
Sekreteriat andrea.ehrle@srh.de
Personalstelle
Daniela Lippert
daniela.lippert@srh.de Chefärztin Dr. med. Sabine Presser
sabinejeanette.presser@srh.de
Sekreteriat Katrin Michael
katrin.michael@srh.de
denise.ross@srh.de Personalstelle","CÄ Frau Dr. Sabine Presser
sabine-jeanette.presser@srh.de ","Zedlack, Steven Zentralrecruter
Steven.Zedlack@srh.de ",
SRH Krankenhaus Waltershausen- Friedrichroda,https://www.krankenhaus-waltershausen-friedrichroda.de/,https://www.srh-karriere.de/stellenangebote/?id=10&q=&c=&ct=&wg=&w=&p=&l=99894&d=,"Herr Chefarzt Tuppatsch
heiko.tuppatsch@srh.de
Personalreferentin katharina.linsenbarth@srh.de
ist aktuell nicht im Büro
Vertretung Frau Maria Freitag
maria.freitag@srh.de Chefarzt Herr Dr. med. Olaf Schlonski
olaf.schlonski@srh.de
Personalreferentin
katharina.linsenbarth@srh.de Herr Chefarzt Dr. med. Walter Schulte 
walter.schulte@srh.de
Personalreferentin
katharina.linsenbarth@srh.de    ",,,
Henneberg- Kliniken Hildburghausen,https://www.henneberg-kliniken.de/henneberg-klinik-hildburghausen/,https://www.henneberg-kliniken.de/stellenangebote/,"frank.wellmann@regiomed-kliniken.de
Personal Chefarzt der Abteilung für Innere Medizin
Dr. med. Klaus Müller
Sekreteriat
manuela.tresselt@regiomed-kliniken.de Chefarzt der Abteilung für Innere Medizin
Priv.-Doz. Dr. med Adrian Lupescu
Sekreteriat
Michaela.Pfeifer@regiomed-kliniken.de
frank.wellmann@regiomed-kliniken.de
Personal Chefarzt Orthopädie und Unfallchirurgie
Herr Tarek Al Ahmer
Sekreteriat
korinna.mehlich@regiomed-kliniken.de
Personal
frank.wellmann@regiomed-kliniken.de Chefärztin Gastroenterologie
Frau Dr. med. Alexandra Wisser
Sekreteriat
Annette.Mueller@henneberg-kliniken.de Herr Dr. med. Sacha Tertio Wladimir Mann 
Sekreteriat Korinna Mehlich
Korinna.Mehlich@henneberg-kliniken.de
bewerbung@henneberg-kliniken.de Geschäftsführung Andreas Schütz
Sekretärin der GF Anna Pohl
anna.pohl@henneberg-kliniken.de 
bewerbung@henneberg-kliniken.de",,,
Eichsfeld Klinikum,https://eichsfeld-klinikum.de/,https://eichsfeld-klinikum.de/karriere/stellenangebote#aerztlicher-dienst,"Personalleiter Robert Hitzigrath
R.Hitzigrath@eichsfeld-klinikum.de
Dr. med. Michael Unzicker Chefarzt für Innere Medizin II 
kardiologie@eichsfeld-klinikum.de
Dr. med. Lars Reinhardt
gastroenterologie@eichsfeld-klinikum.de
Chefarzt der Klinik für Innere Medizin I
bewerbung@eichsfeld-klinikum.de Personalleiter Robert Hitzigrath
R.Hitzigrath@eichsfeld-klinikum.de
Dr. med. Michael Unzicker Chefarzt für Innere Medizin II 
kardiologie@eichsfeld-klinikum.de
Dr. med. Lars Reinhardt
gastroenterologie@eichsfeld-klinikum.de
Chefarzt der Klinik für Innere Medizin I Frau Gudrun König
Chefärztin der Klinik für Gynäkologie und Geburtshilfe
gynaekologie@eichsfeld-klinikum.de
k.dullovi@eichsfeld-klinikum.de
bewerbung@eichsfeld-klinikum.de
Personalabteilung Recruting Chefarzt für Anästhesie, Intensiv- und Schmerzmedizin 
Dr. med. Oliver Schmid
O.Schmid@eichsfeld-klinikum.de
anaesthesie@eichsfeld-klinikum.de
Personalleiter Robert Hitzigrath
R.Hitzigrath@eichsfeld-klinikum.de Chefarzt Allgemein-, Viszeral- und Gefäß-
chirurgie, Proktologie
Haus Reifenstein
Dr. med. Lutz Pickart
Sekreteriat
chirurgie@eichsfeld-klinikum.de
Personalleiter Robert Hitzigrath
R.Hitzigrath@eichsfeld-klinikum.de  ",,,
St. Elisabeth Krankenhaus Lengenfeld unterm Stein,https://www.kh-lengenfeld.de/,https://www.kh-lengenfeld.de/jobs/,        ,,,
"Geriatrische Fachklinik ""Georgenhaus"" Meiningen",https://www.sozialwerk-meiningen.de/altersmedizin/unsere-einrichtungen/geriatrische-fachklinik-georgenhaus,https://www.beruf-mensch.net/stellenangebote," Chefarzt der Klinik, Herr Dr. Meinhardt
Sekreteriat
arensmeier@diako-online.de  Chefarzt der Klinik, Herr Dr. Meinhardt
Sekreteriat
arensmeier@diako-online.de     ",,,
Ökumenisches Hainich Klinikum Mühlhausen,https://www.oehk.de/karriere/aerztlicher-dienst,https://www.oehk.de/karriere/aktuelle-stellenausschreibungen," Herr Schneider Personal
C.Schneider01@oehk.de Heilbad Heiligenstadt
Chefärztin
Dr. med. Katharina Schoett
k.schoett@oehk.de
""Herr Schneider Personal
C.Schneider01@oehk.de     ",,,
